Work number:   800000080  Calculation: 5   Date: 2024-08-26  Page :  1
=============================================================================================
Articlenr  Cluster                             Unit          Price      Number               
=============================================================================================
200007312  Kabelverdeelrek,8-velden             stuk         16.54       92.00
200007373  Nummerstrook,62/74                   stuk         14.41    10396.00
200007397  Krimpmof,overgang,NS0,41/12          stuk         12.95       46.00
200007439  Krimpmof,XAGA500-100/25-400          stuk         14.52       69.00
200007476  Laskoker,koper,1mm²,DIN47656         100          13.32     4715.00
200008304  Kabelschoen v Cu soepel,16mm²/M6     stuk        115.45      276.00
200010256  Kabel,YMz1Kmbzh,2x16mm²              meter         4.40      460.00
200010396  Kabel,S-Y(E)Mz1Kmbzh,(34+7x4)x0,8mm  meter         7.50    23000.00
200010748  Kabel,onbewapend,Y(E)MvK,(4+10)x1,5  meter         4.91      460.00
200010815  Kabel,YMvK,50mm²                     meter         4.24      276.00
200010827  Kabel,YMvK,16mm²                     meter         3.53      460.00
200010890  Kabel,YMvK,2x16mm²                   meter         9.12      230.00
200011169  Kabel,VGYMvKas,4x16mm²               meter         0.79      506.00
200011340  Kabel VEMEK 4x2x1,5mm²               meter         6.04      230.00
200014365  Fundering,v dwergsein,beton,75mm     stuk       1969.98       23.00
200014377  Fundering,beton                      stuk       3034.86       23.00
200014390  Fundering,v brede ladder,beton       stuk       2448.11       23.00
200014407  Fundering,v dwergsein,MF,gietijzer   stuk       2101.30       23.00
200014456  Bord,lichtsein,zw/gl,300x194mm       stuk       7358.66       46.00
200014468  Ladder,v seinpaal,5720mm             stuk       3522.02       23.00
200014547  Laddersteun,verbr.,compl.ond.,841mm  stuk       4906.52       23.00
200014687  Beschermrooster,MF                   stuk       7287.07       23.00
200014833  Lamphuis,MF,LED,rechts,rd/gn/gl      stuk       7844.75       23.00
200016301  Sein-3-aspect,LED in AY-behuizing    stuk       3853.34       23.00
200016362  Trekstang,nr.2411,542mm              stuk       1384.77       46.00
200016532  Controlestang,nr.4420,144mm          stuk       1369.34       23.00
200016556  Controlestang,nr.4470,1725mm         stuk       1606.55       23.00
200016635  Trekstang,nr.6823,2128mm             stuk        933.63       46.00
200017184  Wisselsteller,NSE2,L,120VDC          stuk      62686.19       23.00
200017342  Kast,wisselkruk,m voetstuk           stuk        262.74       23.00
200017482  Kabel EMC,v wisselsteller,12x2,5mm²  stuk        347.57       46.00
200017755  Bord,wisselnummer                    stuk        400.52       92.00
200017767  Paal,v wisselnummerbord              stuk        472.13       69.00
200017779  Beugel,v wisselbord                  stuk        303.21       92.00
200017780  Beugel,v wisselbord a dwl            stuk        385.61       69.00
200018360  Railspoel,hoog model,150mm²          stuk       4352.10       69.00
200018371  Deksel,compl.,v railspoel            stuk        475.70       69.00
200018383  Bev.,v deksel railspoel,RVS          stuk        166.65       69.00
200018486  Frame,v enk./dubb. railspoel, kunst  stuk        178.96       46.00
200018644  Kabelset,aansl.,AA,v railspoel,150m  stuk        159.78       23.00
200018656  Kabelset,aansl.,CC,v railspoel,150m  stuk        160.39       46.00
200019120  Railaansluitpot,320mm                stuk        161.90       23.00
200019132  Railaansluitpot,620mm                stuk        154.89       46.00
200019934  Warmtewisselaar,5900mm,Heatpoint     stuk       1122.52       46.00
200020808  Klemmenkast,testaarde                stuk         16.14      368.00
200021357  Trafo,v kast,110V 48VA               stuk        717.74       23.00
200021813  Fundering,v relaiskast,enk.,beton    stuk        236.03       23.00
200021825  Afdekplaat,blind,v relaiskast 44/45  stuk         29.00       23.00
200021965  Kabeldoorvoerstrip,40x114mm,blind    stuk       1399.92       92.00
200021977  Kabeldoorvoerstrip,40x114mm,2xPG21   stuk        431.35       23.00
200021989  Kabeldoorvoerstrip,50x114mm,2xPG29   stuk        927.54       69.00
200021990  Kabeldoorvoerstrip,1xPG36+2xPG13,5   stuk        263.64       46.00
200022015  Kast,19A                             stuk       1579.22       23.00
200022027  Deksel,v kast 19A                    stuk        215.40       23.00
200022039  Binnenkast,19A,hout                  stuk        353.88       23.00
Work number:   800000080  Calculation: 5   Date: 2024-08-26  Page :  2
=============================================================================================
Articlenr  Cluster                             Unit          Price      Number               
=============================================================================================
200022120  Trafo,in kast,2KVA,3kV/110V,laag     stuk        684.08       23.00
200022921  Doorslagveiligheid,CLS 2 RBY         stuk         77.14       46.00
200022945  Doorslagveiligheid,CLS 1 RCY         stuk         95.23       23.00
200027270  Laspatroon,Cadweld 32F80,14x9x6cm    doos       1100.78       46.00
200027281  Laspatroon,Cadweld 45F80             doos       1272.79      828.00
200029010  Betondwarsligger,m rugplaat 54E1     stuk        266.73      460.00
200029459  Rughellingplaat 54E1,gegoten,23,1mm  stuk          2.54    82800.00
200029708  Rugplaat 54E1,vlak,gegoten           stuk         79.32      920.00
200030644  Compensatielas 54E1,L,2x6.000mm      stuk         54.88      253.00
200030656  Compensatielas 54E1,R,2x6.000mm      stuk         41.99      161.00
200031764  Dwarsligger,rgpt,260x25x15cm,54E1    stuk        171.33    41400.00
200031806  Dwarsligger,rghlpt,kpn,250x25x21cm,  stuk        209.09      460.00
200032409  Lijmlas,ES,NRG,54E5 MHH,8.600mm      stuk        954.20       46.00
200034169  Veerklem,SKL KM (SKL 19) KTL-behand  stuk          9.17   167440.00
200034224  Kraagbout,vlak onder kop,23x190mm    stuk          4.64   334880.00
200034303  Kruisstuk 54E1 1:9,mnsn              stuk       2199.56       23.00
200035708  Spoorstaaf 54E5 R370LHT,360.000mm ?  stuk        986.94      138.00
